time: 18	 sensorID: 31	 sendTo: 45
time: 18	 sensorID: 35	 sendTo: 3
time: 18	 sensorID: 45	 sendTo: 39
time: 18	 sensorID: 48	 sendTo: 42
time: 18	 sensorID: 49	 sendTo: 28
time: 19	 sensorID: 1	 sendTo: 46
time: 19	 sensorID: 6	 sendTo: 28
time: 19	 sensorID: 18	 sendTo: 3
time: 20	 sensorID: 10	 sendTo: 15
time: 20	 sensorID: 19	 sendTo: 48
time: 20	 sensorID: 21	 sendTo: 36
time: 21	 sensorID: 12	 sendTo: 14
time: 21	 sensorID: 22	 sendTo: 31
time: 21	 sensorID: 47	 sendTo: 39
time: 22	 sensorID: 1	 sendTo: 38
time: 22	 sensorID: 12	 sendTo: 12
time: 22	 sensorID: 13	 sendTo: 18
time: 22	 sensorID: 46	 sendTo: 37
time: 23	 sensorID: 8	 sendTo: 32
time: 23	 sensorID: 39	 sendTo: 31
time: 23	 sensorID: 43	 sendTo: 31
time: 23	 sensorID: 47	 sendTo: 18
time: 24	 sensorID: 4	 sendTo: 26
time: 24	 sensorID: 5	 sendTo: 46
time: 24	 sensorID: 15	 sendTo: 35
time: 24	 sensorID: 23	 sendTo: 28
time: 24	 sensorID: 33	 sendTo: 1
time: 25	 sensorID: 37	 sendTo: 36
time: 25	 sensorID: 42	 sendTo: 43
time: 26	 sensorID: 13	 sendTo: 44
time: 26	 sensorID: 20	 sendTo: 17
time: 26	 sensorID: 28	 sendTo: 34
time: 26	 sensorID: 50	 sendTo: 41
time: 27	 sensorID: 11	 sendTo: 33
time: 27	 sensorID: 21	 sendTo: 28
time: 27	 sensorID: 25	 sendTo: 38
time: 27	 sensorID: 36	 sendTo: 3
time: 27	 sensorID: 39	 sendTo: 36
time: 28	 sensorID: 3	 sendTo: 30
time: 28	 sensorID: 9	 sendTo: 25
time: 28	 sensorID: 27	 sendTo: 23
time: 28	 sensorID: 32	 sendTo: 6
time: 29	 sensorID: 1	 sendTo: 37
time: 29	 sensorID: 2	 sendTo: 41
time: 29	 sensorID: 10	 sendTo: 25
time: 29	 sensorID: 47	 sendTo: 47
time: 29	 sensorID: 50	 sendTo: 11
time: 30	 sensorID: 15	 sendTo: 14
time: 30	 sensorID: 16	 sendTo: 3
time: 30	 sensorID: 30	 sendTo: 18
time: 30	 sensorID: 32	 sendTo: 2
time: 30	 sensorID: 44	 sendTo: 10
time: 31	 sensorID: 15	 sendTo: 17
time: 31	 sensorID: 23	 sendTo: 46
time: 31	 sensorID: 40	 sendTo: 13
time: 32	 sensorID: 14	 sendTo: 49
time: 32	 sensorID: 34	 sendTo: 24
time: 32	 sensorID: 35	 sendTo: 25
time: 32	 sensorID: 38	 sendTo: 47
time: 33	 sensorID: 1	 sendTo: 8
time: 33	 sensorID: 7	 sendTo: 7
time: 33	 sensorID: 16	 sendTo: 16
time: 33	 sensorID: 20	 sendTo: 42
time: 33	 sensorID: 21	 sendTo: 17
time: 33	 sensorID: 25	 sendTo: 41
time: 33	 sensorID: 28	 sendTo: 17
time: 33	 sensorID: 38	 sendTo: 31
time: 34	 sensorID: 4	 sendTo: 10
time: 34	 sensorID: 7	 sendTo: 13
time: 34	 sensorID: 8	 sendTo: 34
time: 34	 sensorID: 26	 sendTo: 10
time: 34	 sensorID: 36	 sendTo: 39
time: 34	 sensorID: 41	 sendTo: 35
time: 35	 sensorID: 3	 sendTo: 19
time: 35	 sensorID: 14	 sendTo: 38
time: 35	 sensorID: 22	 sendTo: 44
time: 36	 sensorID: 2	 sendTo: 1
time: 36	 sensorID: 9	 sendTo: 39
time: 36	 sensorID: 15	 sendTo: 7
time: 36	 sensorID: 36	 sendTo: 19
time: 36	 sensorID: 44	 sendTo: 29
time: 36	 sensorID: 48	 sendTo: 16
time: 36	 sensorID: 50	 sendTo: 22
time: 37	 sensorID: 6	 sendTo: 27
time: 37	 sensorID: 9	 sendTo: 2
time: 37	 sensorID: 12	 sendTo: 34
time: 37	 sensorID: 22	 sendTo: 46
time: 37	 sensorID: 44	 sendTo: 13
time: 37	 sensorID: 50	 sendTo: 32
time: 38	 sensorID: 2	 sendTo: 22
time: 38	 sensorID: 4	 sendTo: 2
time: 38	 sensorID: 14	 sendTo: 11
time: 38	 sensorID: 23	 sendTo: 28
time: 38	 sensorID: 24	 sendTo: 1
time: 38	 sensorID: 30	 sendTo: 8
time: 38	 sensorID: 36	 sendTo: 5
time: 38	 sensorID: 48	 sendTo: 35
time: 39	 sensorID: 1	 sendTo: 47
time: 39	 sensorID: 6	 sendTo: 40
time: 39	 sensorID: 10	 sendTo: 39
time: 39	 sensorID: 19	 sendTo: 22
time: 39	 sensorID: 33	 sendTo: 36
time: 39	 sensorID: 39	 sendTo: 22
time: 39	 sensorID: 45	 sendTo: 40
time: 40	 sensorID: 7	 sendTo: 19
time: 40	 sensorID: 15	 sendTo: 32
time: 40	 sensorID: 16	 sendTo: 41
time: 40	 sensorID: 19	 sendTo: 50
time: 40	 sensorID: 21	 sendTo: 35
time: 40	 sensorID: 23	 sendTo: 33
time: 40	 sensorID: 24	 sendTo: 41
time: 40	 sensorID: 31	 sendTo: 36
time: 40	 sensorID: 37	 sendTo: 4
time: 40	 sensorID: 46	 sendTo: 1
time: 41	 sensorID: 4	 sendTo: 11
time: 41	 sensorID: 27	 sendTo: 17
time: 41	 sensorID: 44	 sendTo: 34
time: 42	 sensorID: 1	 sendTo: 9
time: 42	 sensorID: 9	 sendTo: 13
time: 42	 sensorID: 14	 sendTo: 18
time: 42	 sensorID: 19	 sendTo: 46
time: 42	 sensorID: 40	 sendTo: 3
time: 42	 sensorID: 45	 sendTo: 35
time: 42	 sensorID: 46	 sendTo: 21
time: 42	 sensorID: 49	 sendTo: 19
time: 43	 sensorID: 17	 sendTo: 47
time: 43	 sensorID: 32	 sendTo: 48
time: 43	 sensorID: 37	 sendTo: 45
time: 43	 sensorID: 43	 sendTo: 41
time: 44	 sensorID: 2	 sendTo: 35
time: 44	 sensorID: 13	 sendTo: 16
